Species,Bin,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
Ukhaatherium,4,47.78726305,27.88093229,39.41126257,-4.855003153,-7.099679691,-9.632286169,10.7036737,9.755889468,0.287195627,6.719776421
Gypsonictops,4,14.31229696,16.58626829,10.14823283,18.94696936,2.229474612,-8.215138615,12.51866712,-0.031836347,-1.190926312,7.075834504
Didelphodon,4,25.4512391,34.66043009,-27.69983715,-6.541149591,-3.053305937,11.76653587,2.048674838,4.27229108,-2.131664584,5.720922848
Pediomys,4,22.07521335,28.00654539,-18.4123823,-5.640452704,-0.202198887,13.61244928,6.565917661,-0.464355338,-6.024619344,5.956653281
Turgidodon,4,15.71710803,20.81693372,-24.0558493,4.84632832,3.69835125,-1.519596104,8.757185245,1.46312244,0.255828576,7.808431634
Cimolestes,4,14.0636711,15.15798323,4.756894776,14.2779158,2.788478486,-10.3936769,10.95339591,1.652669449,-1.472647355,9.181602994
Protungulatum,4,28.51333215,24.81561823,24.66291632,18.07918806,8.214725216,13.35049642,5.556532858,4.264486826,-21.45180593,5.230189963
Mayulestes,5,100.6231848,30.00028647,-40.33928898,-44.99837528,1.317525052,10.58254284,2.229686062,-1.173863494,-4.623202215,-13.7922706
Pucadelphys,5,112.7325197,30.33577048,-50.21895094,-50.7579702,9.552443891,20.58772165,-3.64583652,-7.990952316,1.922058518,-20.11437546
Andinodelphys,5,53.27982852,24.28233126,-54.4095888,-1.264163052,11.85605182,-17.78751996,-9.832127643,-23.16020428,-6.770452566,-6.295851279
Leptictis,5,142.5180207,-8.644998882,39.07238696,38.37803635,3.578632025,12.34603871,-8.377198185,7.95413381,-31.35003811,9.371416628
Obdurodon,5,11.44674076,-23.6521352,8.772509904,42.72578177,14.73014301,49.35576247,47.02380168,4.144084123,33.63743438,-11.48025933
Glyptotherium,5,112.5557378,-56.83475277,-5.860768808,12.81798808,-11.59753949,45.63124376,-30.36290322,-8.719604984,12.77537566,21.35649046
